Timestamp,Battery,Flying State,Sensors
1720123195.230853,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007218111772090197, 'AttitudeChanged_pitch': -0.0014775540912523866, 'AttitudeChanged_yaw': 0.3648917078971863, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -85, 'GpsLocationChanged_longitude_accuracy': -80, 'GpsLocationChanged_altitude_accuracy': -73, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.3311102,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0071256826631724834, 'AttitudeChanged_pitch': -0.0016361979069188237, 'AttitudeChanged_yaw': 0.3656427264213562, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -85, 'GpsLocationChanged_longitude_accuracy': -80, 'GpsLocationChanged_altitude_accuracy': -73, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.4323537,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.006914299447089434, 'AttitudeChanged_pitch': -0.0015629840781912208, 'AttitudeChanged_yaw': 0.36661428213119507, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -85, 'GpsLocationChanged_longitude_accuracy': -80, 'GpsLocationChanged_altitude_accuracy': -73, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.5325952,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.006914299447089434, 'AttitudeChanged_pitch': -0.0015629840781912208, 'AttitudeChanged_yaw': 0.36661428213119507, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -85, 'GpsLocationChanged_longitude_accuracy': -80, 'GpsLocationChanged_altitude_accuracy': -73, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.6338193,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.006914299447089434, 'AttitudeChanged_pitch': -0.0015629840781912208, 'AttitudeChanged_yaw': 0.36661428213119507, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -23, 'GpsLocationChanged_longitude_accuracy': -18, 'GpsLocationChanged_altitude_accuracy': -11, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.7340841,100,unknown,"{'WifiSignalChanged_rssi': -16, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007155524101108313, 'AttitudeChanged_pitch': -0.0016864582430571318, 'AttitudeChanged_yaw': 0.36651238799095154, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -23, 'GpsLocationChanged_longitude_accuracy': -18, 'GpsLocationChanged_altitude_accuracy': -11, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.8352385,100,unknown,"{'WifiSignalChanged_rssi': -16, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0073196240700781345, 'AttitudeChanged_pitch': -0.0018244982929900289, 'AttitudeChanged_yaw': 0.36638927459716797, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -23, 'GpsLocationChanged_longitude_accuracy': -18, 'GpsLocationChanged_altitude_accuracy': -11, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.9364853,100,unknown,"{'WifiSignalChanged_rssi': -16, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0073196240700781345, 'AttitudeChanged_pitch': -0.0018244982929900289, 'AttitudeChanged_yaw': 0.36638927459716797, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -23, 'GpsLocationChanged_longitude_accuracy': -18, 'GpsLocationChanged_altitude_accuracy': -11, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123196.0371132,100,unknown,"{'WifiSignalChanged_rssi': -16, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007292838767170906, 'AttitudeChanged_pitch': -0.0017641430022194982, 'AttitudeChanged_yaw': 0.3670758306980133, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -23, 'GpsLocationChanged_longitude_accuracy': -18, 'GpsLocationChanged_altitude_accuracy': -11, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123196.1375878,100,unknown,"{'WifiSignalChanged_rssi': -16, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007292838767170906, 'AttitudeChanged_pitch': -0.0017641430022194982, 'AttitudeChanged_yaw': 0.3670758306980133, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': -23, 'GpsLocationChanged_longitude_accuracy': -18, 'GpsLocationChanged_altitude_accuracy': -11, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
