DateTime,SpeedChanged_speedX,SpeedChanged_speedY,SpeedChanged_speedZ,AltitudeChanged_altitude,AttitudeChanged_roll,AttitudeChanged_pitch,AttitudeChanged_yaw,GpsLocationChanged_latitude,GpsLocationChanged_longitude,GpsLocationChanged_altitude,GpsLocationChanged_latitude_accuracy,GpsLocationChanged_longitude_accuracy,GpsLocationChanged_altitude_accuracy,HomeChanged_latitude,HomeChanged_longitude,HomeChanged_altitude,moveByEnd_dX,moveByEnd_dY,moveByEnd_dZ,moveByEnd_dPsi,WifiSignalChanged_rssi,BatteryStateChanged_percent,FlyingStateChanged_state_unknown,FlyingStateChanged_state_landed,FlyingStateChanged_state_takingoff,FlyingStateChanged_state_hovering,FlyingStateChanged_state_flying,FlyingStateChanged_state_landing,FlyingStateChanged_state_emergency,FlyingStateChanged_state_usertakeoff,FlyingStateChanged_state_motor_ramping,FlyingStateChanged_state_motor_emergency_landing,HomeTypeAvailabilityChanged_type_UNKNOWN,HomeTypeAvailabilityChanged_type_TAKEOFF,HomeTypeAvailabilityChanged_type_PILOT,HomeTypeAvailabilityChanged_type_FIRST_FIX,HomeTypeAvailabilityChanged_type_FOLLOWEE,is_target
2024-08-27 19:28:21.905741930,0.0,0.0,0.0,0.0,-0.0012202418874949217,-0.0029985597357153893,-0.49853596091270447,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:22.006112099,0.0,0.0,0.0,0.0,-0.001237123622559011,-0.002923467895016074,-0.4985702633857727,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:22.108467817,0.0,0.0,0.0,0.0,-0.001237123622559011,-0.002923467895016074,-0.4985702633857727,500.0,500.0,500.0,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.209371567,0.0,0.0,0.0,0.0,-0.0013604939449578524,-0.002920320490375161,-0.498674601316452,500.0,500.0,500.0,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.309645891,0.0,0.0,0.0,0.0,-0.0013604939449578524,-0.002920320490375161,-0.498674601316452,500.0,500.0,500.0,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.410512924,0.0,0.0,0.0,0.0,-0.0014342782087624073,-0.002855130238458514,-0.49872255325317383,500.0,500.0,500.0,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.515572308,0.0,0.0,0.0,0.0,-0.0014342782087624073,-0.002855130238458514,-0.49872255325317383,500.0,500.0,500.0,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.615914345,0.0,0.0,0.0,0.0,-0.0013052423018962145,-0.002946957480162382,-0.49876850843429565,500.0,500.0,500.0,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.716496706,0.0,0.0,0.0,0.0,-0.0013052423018962145,-0.002946957480162382,-0.49876850843429565,-22.00482683333332,-47.93268349999996,848.7999877929688,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.816868067,0.0,0.0,0.0,0.0,-0.0013955627800896764,-0.002948800567537546,-0.4988299012184143,-22.00482683333332,-47.93268349999996,848.7999877929688,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:22.917110205,0.0,0.0,0.0,0.0,-0.0013955627800896764,-0.002948800567537546,-0.4988299012184143,-22.00482683333332,-47.93268349999996,848.7999877929688,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.017999887,0.0,0.0,0.0,0.0,-0.0010292635997757316,-0.0031460451427847147,-0.49886688590049744,-22.00482683333332,-47.93268349999996,848.7999877929688,0,1,2,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.118407488,0.0,0.0,0.0,0.0,-0.0010292635997757316,-0.0031460451427847147,-0.49886688590049744,-22.00482699999997,-47.93268349999996,848.7999877929688,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.221435308,0.0,0.0,0.0,0.0,-0.0011509149335324764,-0.0032195844687521458,-0.49897080659866333,-22.00482699999997,-47.93268349999996,848.7999877929688,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.321742296,0.0,0.0,0.0,0.0,-0.0011509149335324764,-0.0032195844687521458,-0.49897080659866333,-22.00482699999997,-47.93268349999996,848.7999877929688,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.425882101,0.0,0.0,0.0,0.0,-0.0013183141127228737,-0.003145038615912199,-0.4990173876285553,-22.00482699999997,-47.93268349999996,848.7999877929688,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.526834488,0.0,0.0,0.0,0.0,-0.0013183141127228737,-0.003145038615912199,-0.4990173876285553,-22.00482699999997,-47.93268349999996,848.7999877929688,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.629661798,0.0,0.0,0.0,0.0,-0.0012874568346887827,-0.0029737912118434906,-0.4990675449371338,-22.00482699999997,-47.93268349999996,848.7999877929688,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.731242180,0.0,0.0,0.0,0.0,-0.0012874568346887827,-0.0029737912118434906,-0.4990675449371338,-22.004827166666608,-47.932683666666634,848.7000122070312,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.832034588,0.0,0.0,0.0,0.0,-0.001394262770190835,-0.0028443140909075737,-0.4991961121559143,-22.004827166666608,-47.932683666666634,848.7000122070312,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:23.935664892,0.0,0.0,0.0,0.0,-0.0012016657274216413,-0.002779373899102211,-0.4992251694202423,-22.004827166666608,-47.932683666666634,848.7000122070312,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:24.039927244,0.0,0.0,0.0,0.0,-0.0012016657274216413,-0.002779373899102211,-0.4992251694202423,-22.004827166666608,-47.932683666666634,848.7000122070312,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:24.141156435,0.0,0.0,0.0,0.0,-0.0012016657274216413,-0.002779373899102211,-0.4992251694202423,-22.004827333333274,-47.932683666666634,848.7000122070312,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:24.241621494,0.0,0.0,0.0,0.0,-0.001328634680248797,-0.002862332621589303,-0.4993579089641571,-22.004827333333274,-47.932683666666634,848.7000122070312,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-27 19:28:24.342010021,0.0,0.0,0.0,0.0,-0.0013525718823075294,-0.002780723152682185,-0.49935877323150635,-22.004827333333274,-47.932683666666634,848.7000122070312,0,1,1,-22.004826666666666,-47.932683166666656,2.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
