DateTime,SpeedChanged_speedX,SpeedChanged_speedY,SpeedChanged_speedZ,AltitudeChanged_altitude,AttitudeChanged_roll,AttitudeChanged_pitch,AttitudeChanged_yaw,GpsLocationChanged_latitude,GpsLocationChanged_longitude,GpsLocationChanged_altitude,GpsLocationChanged_latitude_accuracy,GpsLocationChanged_longitude_accuracy,GpsLocationChanged_altitude_accuracy,HomeChanged_latitude,HomeChanged_longitude,HomeChanged_altitude,moveByEnd_dX,moveByEnd_dY,moveByEnd_dZ,moveByEnd_dPsi,WifiSignalChanged_rssi,BatteryStateChanged_percent,FlyingStateChanged_state_unknown,FlyingStateChanged_state_landed,FlyingStateChanged_state_takingoff,FlyingStateChanged_state_hovering,FlyingStateChanged_state_flying,FlyingStateChanged_state_landing,FlyingStateChanged_state_emergency,FlyingStateChanged_state_usertakeoff,FlyingStateChanged_state_motor_ramping,FlyingStateChanged_state_motor_emergency_landing,HomeTypeAvailabilityChanged_type_UNKNOWN,HomeTypeAvailabilityChanged_type_TAKEOFF,HomeTypeAvailabilityChanged_type_PILOT,HomeTypeAvailabilityChanged_type_FIRST_FIX,HomeTypeAvailabilityChanged_type_FOLLOWEE,is_target
2024-08-27 19:52:24.732634306,-0.006683033891022205,-0.011973123997449875,0.020753825083374977,1.3523766994476318,0.019176313653588295,0.07867855578660965,-0.18378053605556488,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:24.876885891,0.0029162061400711536,-0.001397250802256167,0.005829354748129845,1.3523945808410645,0.03317448869347572,0.07014971226453781,-0.1853102743625641,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:25.044811487,0.0029162061400711536,-0.001397250802256167,0.005829354748129845,1.3523945808410645,0.03317448869347572,0.07014971226453781,-0.1853102743625641,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:25.181133270,0.010470140725374222,-0.00306565104983747,0.0022285492159426212,1.356776475906372,0.03068534843623638,0.08268673717975616,-0.18412548303604126,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:25.282194614,0.006678595673292875,-0.00022963539231568575,0.02094108611345291,1.3290390968322754,0.037238460034132004,0.08220300078392029,-0.18281906843185425,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:25.416532993,0.006678595673292875,-0.00022963539231568575,0.02094108611345291,1.3290390968322754,0.037238460034132004,0.08220300078392029,-0.18281906843185425,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:25.597083569,-0.0032548776362091303,-0.01507454365491867,-0.015576491132378578,1.3307057619094849,0.04185320436954498,0.08215322345495224,-0.18462331593036652,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:25.738122463,-0.0005155292456038296,0.005939633119851351,0.008686660788953304,1.3048756122589111,0.03396517038345337,0.08317530900239944,-0.18586193025112152,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:25.888571501,0.0018720056395977736,0.030406231060624123,-0.007971648126840591,1.2894411087036133,0.036151327192783356,0.08741375803947449,-0.18405377864837646,500.0,500.0,500.0,1,1,4,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2024-08-27 19:52:26.054356337,0.0018720056395977736,0.030406231060624123,-0.007971648126840591,1.2894411087036133,0.036151327192783356,0.08741375803947449,-0.18405377864837646,500.0,500.0,500.0,1,1,3,-22.004832666668882,-47.9326486666668,2.0,-0.40220528841018677,0.006087847054004669,-0.014650940895080566,0.004200190305709839,-45,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
